,内容id,标题,发布时间,视频下载链接,asr,sn
0,VC01ASML5QHTBME,不加油不充电！奔驰“烧水”汽车问世，一箱自来水能跑800公里？,2021-06-25T15:04:30,https://video-nos.yiyouliao.com/icvt-shd-20210628-c2624d82b026eb85b0e00e56654b8edb.mp4,哈喽大家好，欢迎收看本期视频，我们大家都畅想过一件事情，就是在这个开汽车的过程中，如果能加水就可以开汽车的话，那是一件多么美好的事情，既省了能源又省了时间，而最近真有这么一款这个加水就能开的汽车即将上市了，那就是奔驰a尔g或士这个车型，这个车型据说一箱水能跑八百公里，到底是什么样的车那么神奇呢？跟我一起来看一下。说这种新款的奔驰车呢，它不需要充电，也不需要加油，它的这个车顶上是有一个蓄水池的，那么满满的一箱蓄水池呢。,495d72c3-2ba5-48c6-9133-3005de349720_zh
1,VT00FUISQHB8K0Y,奔驰 G63 AMG 6x6 G700 BRABUS RHD - 中控配备了多个实体按键,2021-06-25T15:04:31,https://video-nos.yiyouliao.com/icvt-shd-20210625-104036509e834d08aa73083a6bad2c9f.mp4,嘿嘿嘿嘿,73e8f4ce-0baf-44fa-8061-257c09f9495b_zh
2,VI00FZ0D9NAT67C,东北小伙和女友的塑料闺蜜，俩人合谋，在女友面前秀恩爱！,2021-06-25T15:05:18,https://video-nos.yiyouliao.com/icvt-shd-20210626-826f775ec0c3377010891e0f4bf4d4ae.mp4,当女友面跟她闺蜜互相喂吃的，阿龙，我说你偷偷给你总个外块眼，完了你帮我个忙呗，啥忙？就算我点了点东西，然后一会儿当我对象面，咱俩互相喂的有好对，晚上怎么得挺暧昧呢吧你主要是我还好，结果拿不好你俩，他能给你外块钱呢？这是给钱先对你转行办小时后，大哥取完外卖准备宝宝备你吃为薯条了，可能红不会，我做什准样卖一下来，张大嘴来。,6985b66c-7ace-4d95-9f1d-cf1717591038_zh
3,VI00MEJ5WJ9QPNW,患十二指肠溃疡的人有什么表现？有几个典型症状，你知道了吗？,2021-06-25T15:05:35,https://video-nos.yiyouliao.com/icvt-shd-20210627-2fe1331fd9428d5a76413e57ed335270.mp4,十二指肠溃疡什么症状？尤鹏副主任医师消化内科北京大学人民医院这二肠溃疡的典型症状就是上不痛，我们在位置一般是在剑下偏幼的位置，这个疼痛是有他自己的特点的，它往往是在有周期性，会竭力性发作的特点，一般是在秋冬交际的时候中发生，他表现的就是饥饿痛，就是一饿就痛，每天中午会到十二点钟快吃午餐的时候，或者是快到傍晚时要吃晚餐的时候之前。,620f0082-4f52-46ca-8cc4-0cfaeff5f5a4_zh
4,VI01ALCS0YL703A,女孩是个负责人的警察，不仅要找狗找孩子妈，还要跟猩猩搏斗,2021-06-25T15:08:09,https://video-nos.yiyouliao.com/icvt-shd-20210627-bb2736018306e0b5bd1e576ff8e1313c.mp4,女孩在警局累得都睡着了，战叔突然有人大声敲门，原来是一个老奶奶的狗狗走丢了，她来寻求女孩的帮助，女孩让老奶奶别担心，说完就开着他的警车出去寻找了。她来到草坪上呼唤了好多声都不见狗狗的踪影，只能先开车回来。他回到警局，却意爱地发现奶奶身后有一只狗，拿出奶奶的寻狗喜事一看，女孩确定这就是奶奶要找的那只，原来是只玩具狗啊，看得出奶奶特别喜欢他。为了感谢女孩，奶奶送了很多甜甜圈给他，刚吃一口，女孩又听见了哭声，他又得赶紧出警了。是一个宝宝独自躺在糖椅上大哭，他的妈妈去哪儿了呢？女孩敲了一户。,bfd84b40-8e48-4b74-a8ba-f3b87fe8e1a2_zh
5,VI00M4O8EAXN5J7,艾顿暴扣准绝杀太阳2，快船大势已去,2021-06-25T15:08:33,https://video-nos.yiyouliao.com/icvt-shd-20210625-a0295c679adce69df5d0765a4f1c8beb.mp4,这情况完全不一样，快起来可以说大势已去，菲尼克斯太阳已经一脚踏进了总决赛大门，快船的五晓曾经惩罚了足金侠尼波神爵世的哥膊儿，但是面对艾顿情况完全不一样，防守在达不成艾顿进端，艾顿在内天用十个保持威胁，那快餐无奈之下只能把主巴死的体上的手吧。但是就既然于德文不克的进攻火力，上场比三阳他砍下了四十分，还有十一个主攻甚说。首先面对党差主，巴什是优先选择湖外线，这样他给内线艾顿大量的机会，八十出六中，首节拿到了十二分，那第二节组巴词把主要的防法精力全都放到埃顿身上，不再敢疯狂的铺外线，但是靠着快出外线，不断地给德罗部顿上夹击上对抗，依然是起到了很好的现。制效果。,f98c281d-8e24-47c0-8c0d-9c85672b7d93_zh
6,VI00FUX2G5ZYZ31,庆祝建党100周年东营市残疾人自强典型宣讲报告会在东营区举行,2021-06-25T15:08:46,https://video-nos.yiyouliao.com/icvt-shd-20210625-0be97d0a6e84e53c5746e6d2dfaebe97.mp4,今天上午，东瀛市残疾人自强典型暨助残模范巡回宣讲报告会在东营区举行，邀请三名残疾人自强模范，两名最美助残人，仅仅围绕永远跟党走群众性宣讲主题，结合亲身经历，生动阐述了在我党领导下拼搏奋斗，追梦圆梦的励志故事和赠人玫瑰，手有余乡的助残故事。残疾人纷纷表示，要以宣讲团成员为榜样，弘扬模范精神，克服困难，积极面对人生，始终保持积极乐观健康的精神状态，自尊自信自强。,5f4bb0ac-d88e-4efb-aa9e-b94cc9f89c11_zh
7,VI01AC59OLPVSJC,市领导检查中考准备工作 强调将疫情防控贯穿中考全过程,2021-06-25T15:09:29,https://video-nos.yiyouliao.com/icvt-shd-20210625-6b795dc7e7c4a8e538d7a64fcb026f96.mp4,本周六就是中考了，全市六十九万名考生将奔赴考场。今年中考处于疫情防控严峻的形势下，在营考的冲刺阶段，各级教育部门不断地加紧备考工作，确保实现凭安中考健康中考暖心中考。而在昨天下午，福山市委副书记带市长郭文海就带队来到禅城区和南海区检查中考筹备和疫情防控工作情况，要求将疫情防控，安全防护，应急处置，服务保障等各项工作落实落细落到位。检察组一行先后来到禅城容山中学，南海实验中学考场重点学校。,dafb79b6-829d-4c9c-b52c-9dcab8abcb8d_zh
8,VI01AIFOP652638,Jennie一个人搞直播，粉墨的姐妹们都在看呢，珍妮警告大家不许笑！,2021-06-25T15:10:33,https://video-nos.yiyouliao.com/icvt-hd-20210627-ff8d27790aedd89f33e15dac3af0de48.mp4,欧洲在我也要抽出塔的人袋一不打呼忧悠你抱可天前要给你烫上乔一给不打过就手出来皮你出他买的其实说就扛不东的的，这边帽子里做了他才铺也不怕就会打你嘎公真在那过阿我把他皮五七巴菜哦乌林波的七八十八岁哦他这里送高女拐穿就知道那是这爱车了，他爸妈就种过这个哦我的无松高。,63b77dc7-b7ee-4677-80e7-b1fa2673b8d4_zh
9,VI00FZELPY9YCU9,"高考成绩出炉了!八个""官网""查成绩,注意保护好个人信息|守望都市",2021-06-25T15:10:52,https://video-nos.yiyouliao.com/icvt-shd-20210626-2befd0a0685e04a9dc846eb65b9ff1fc.mp4,高考报考季，考生和家长们在选择学校和专业的时候，还是要在尊重考生前置兴趣爱好的前提下来填报志愿。另外，现在网络很发达，很多考生家长觉得这成绩比较理想，就喜欢把它晒在社交媒体上，但这种方法其实是不可取的，因为这很有可能泄露考生的个人信息，出现一系列的风险。昨天下午，我们吉林省的高考分数线已经出炉了，那在晚一点的时候，不少考生也都查询到了自己的高考成绩。那说到查分，其实有很多平台都可以查到成绩的，像我们原来比较传统的查分方式是通过打电话一百一十四。,0a0f24e5-690e-4343-be56-de257269fd4e_zh
